"Использовать б/у катушку для равномерного наматывания на нее резинового уплотнителя  ПВХ окон."
"Использовать б/у катушку для равномерного наматывания на нее резинового уплотнителя  ПВХ окон."
"Изготовить шаблон с нижнем и верхним положением для установки табличек кабинетов - ""Расположение персонала"".Подразумевает установку как с правой так и левой стороны двери."
"Изготовить шаблон с нижнем и верхним положением для установки табличек кабинетов - ""Расположение персонала"".Подразумевает установку как с правой так и левой стороны двери."
"Изготовить из б/у листа металла накладку на деформированную искареженную коробку двери в здании Спасского РЭС и монтировать ее."
"Изготовить из б/у листа металла накладку на деформированную искареженную коробку двери в здании Спасского РЭС и монтировать ее."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Разработать форму документа: заявку-представление о закреплении наставника. С целью устранения потерь времени, наглядности и удобства при заполнении."
"В шаблоне отчета о проделанной работе по уточнению показателей бюджета доходов и расходов в формате Приложения 3, направляемого в Управление ОАО «СК» необходимо прописать ссылки на соответствующие выгрузки бюджетных форм из ИСУ «Бюджетирование». При формировании Приложения 3 ссылки на выгрузки бюджетных форм будут обновляться."
"Разработать таблицу, в которой необходимо сопоставить Ф.И.О. МОЛа, а также лица, его замещающего в период отпуска и временной нетрудоспособности, и соответствующий РЭС и службу. Таблицу обновлять по мере необходимости для заполнения показателей премирования за квартал по РЭСам и службам в части затрат по материальным статьям, а также при ежемесячном распределении фактических остатков филиала по службам и РЭС при формировании прогноза выполнения норматива ТМЦ за месяц."
"Предлагаю визуализировать на диспетчерском щите фазы на которой установлен короткозамыкатель. 
Сокращение времени определение.
Сокращение времени на определение
.фазы на которой установлен короткозамыкатель."
"Предлагаю визуализировать график выполнения работ для мастеров. (Тратится много времени на планирование работ)."
"Предложение о создании группы ватсап в структурном подразделении СПС. Все сотрудники подразделения СПС смогут быстро передавать информацию от первоисточника. Также для обмена фотографиями с места проведения работ с выше стоящим руководством."
