"Использовать б/у катушку для равномерного наматывания на нее резинового уплотнителя  ПВХ окон."
"Использовать б/у катушку для равномерного наматывания на нее резинового уплотнителя  ПВХ окон."
"Изготовить шаблон с нижнем и верхним положением для установки табличек кабинетов - ""Расположение персонала"".Подразумевает установку как с правой так и левой стороны двери."
"Изготовить шаблон с нижнем и верхним положением для установки табличек кабинетов - ""Расположение персонала"".Подразумевает установку как с правой так и левой стороны двери."
"Изготовить из б/у листа металла накладку на деформированную искареженную коробку двери в здании Спасского РЭС и монтировать ее."
"Изготовить из б/у листа металла накладку на деформированную искареженную коробку двери в здании Спасского РЭС и монтировать ее."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Изготовить из б/у пластика накладки под замок в виде шайб - 4 шт. Стянуть их ручками замка с каждой стороны полотна двери."
"Разработать форму документа: заявку-представление о закреплении наставника. С целью устранения потерь времени, наглядности и удобства при заполнении."
"В шаблоне отчета о проделанной работе по уточнению показателей бюджета доходов и расходов в формате Приложения 3, направляемого в Управление ОАО «СК» необходимо прописать ссылки на соответствующие выгрузки бюджетных форм из ИСУ «Бюджетирование». При формировании Приложения 3 ссылки на выгрузки бюджетных форм будут обновляться."
"Разработать таблицу, в которой необходимо сопоставить Ф.И.О. МОЛа, а также лица, его замещающего в период отпуска и временной нетрудоспособности, и соответствующий РЭС и службу. Таблицу обновлять по мере необходимости для заполнения показателей премирования за квартал по РЭСам и службам в части затрат по материальным статьям, а также при ежемесячном распределении фактических остатков филиала по службам и РЭС при формировании прогноза выполнения норматива ТМЦ за месяц."
"Предлагаю визуализировать на диспетчерском щите фазы на которой установлен короткозамыкатель. 
Сокращение времени определение.
Сокращение времени на определение.
фазы на которой установлен короткозамыкатель."
"Предлагаю визуализировать график выполнения работ для мастеров. (Тратится много времени на планирование работ)."
"Предложение о создании группы ватсап в структурном подразделении СПС. Все сотрудники подразделения СПС смогут быстро передавать информацию от первоисточника. Также для обмена фотографиями с места проведения работ с выше стоящим руководством."
"Для сокрашения времени ожидания аккумуляторщиком СПС составления и распечатки  техником ""протокола технического обслуживания аккумуляторных батарей"" с утра в день выезда на обслуживание предлагаю распечатать единожды на целый год, разложить в файлы по районам и вшить в общую папку (В день выезда аккумуляторщик СПС достает из папки чистый бланк и берет с собой в район для ТО)."
"Предлагаю на стационарном телефоне начальника ОУОиАПЭ сделать ""прямые номера"", т.е. производить вызов, нажатием одной кнопки."
"Предлагаю контрольный прибор учета завести в систему автоматизированного учета ЧЭС. Это  позволит определить объем потребления за требуемый период. Так же появится возможность анализировать потребление по расчетному прибору учета."
"Предлагаю контрольный прибор учета завести в систему автоматизированного учета ЧЭС. Это  позволит определить объем потребления за требуемый период. Так же появится возможность анализировать потребление по расчетному прибору учета."
"  Для того чтобы не делать инвентаризацию у МОЛа на время отпуска или болезни, предлагаю заключить полную коллективную материальную ответственность на центральном складе."
" Совершенствование кайдзен предложения со знаком STOP на центральном складе.Визуально трудно определить до какого места должно доехать и где остановиться транспортное средство для разгрузки ТМЦ. Сделать знак с ограничителем и поворачивающимся до достижения транспортного средства знака «STOP»."
" Совершенствование кайдзен предложения со знаком STOP на центральном складе.Визуально трудно определить до какого места должно доехать и где остановиться транспортное средство для разгрузки ТМЦ. Сделать знак с ограничителем и поворачивающимся до достижения транспортного средства знака «STOP»."
"При проведении дней ОТ, проверок по СЭМ, предлагаем совмещать поездки работников ОВБП совместно с проверяющими по ОТ и СЭМ для проведения аудита по системе 5S."
"При проведении дней ОТ, проверок по СЭМ, предлагаем совмещать поездки работников ОВБП совместно с проверяющими по ОТ и СЭМ для проведения аудита по системе 5S."
"При проведении дней ОТ, проверок по СЭМ, предлагаем совмещать поездки работников ОВБП совместно с проверяющими по ОТ и СЭМ для проведения аудита по системе 5S."
"Включить в чек-лист по проверке бригады в День Охраны Труда следующие вопросы:
1.Наличие стандартных операционных карт (далее СОК) в бригаде согласно выполняемой работы;
2.Члены бригады ознакомлены с СОК.
3.Выполнение работ в соответствии с СОК. Выявление замечаний с заполнением соответствующего листа в случае их возникновения."
"При рассмотрении К-предложений в ПО ""Оперативные журналы"" специалистами ОВБП возникают ситуации, когда предложение необходимо доработать или дополнительно обсудить К-предложение, в этих случаях К-предложению присваивается статус ""К обсуждению"" либо ""Не требуется"". ПРедлагаю в блоке, заполняемом ОВБП при рассмотрении К-предложения, добавить поле для записи ""Комментарий ОВБП""."
"При рассмотрении К-предложений в ПО ""Оперативные журналы"" специалистами ОВБП возникают ситуации, когда предложение необходимо доработать или дополнительно обсудить К-предложение, в этих случаях К-предложению присваивается статус ""К обсуждению"" либо ""Не требуется"". ПРедлагаю в блоке, заполняемом ОВБП при рассмотрении К-предложения, добавить поле для записи ""Комментарий ОВБП""."
"В процессе текущей деятельности возникает необходимость делать пометки, записи, которые в последующем не нужны. Для этих целей используются черновики листов А4 или специальные листы для записи. В следствии чего на рабочем столе находится множество бумаг. Предлагаю ламинировать лист бумаги формата А3. На ламинированном листе маркером делать пометки, записи. При необходимости возможно стирать надписи губкой от магнитно-маркерной доски."
"В сварочно слесарном помещении гаража РЭС установлен щит с ключами и молотком предлагаю также установить на этом щите плоскогубцы и бокорезы для более полного комплекта необходимого инструмента."
